seed,block,offset,relx,obs,tree,direct,count
4,9,-6,-0.11881080054058,j2l4,-32455.100948664,-31655.136499417,15000
4,9,-6,-0.11881080054058,j3l2,-38167.890671595,-37285.692563205,15000
4,9,-3,-0.058810800540581,j2l4,-806.61016423618,-851.34639446102,15000
4,9,-3,-0.058810800540581,j3l2,-1008.9055939328,-1040.9562867983,15000
4,9,0,0.0011891994594192,j2l4,-84.425095209285,-79.474613241396,15000
4,9,0,0.0011891994594192,j3l2,147.05339511375,147.58694010047,15000
4,9,3,0.061189199459419,j2l4,-27.456232994234,-22.919960395284,15000
4,9,3,0.061189199459419,j3l2,12.582876303589,10.079551179979,15000
4,9,6,0.12118919945942,j2l4,2.0203108905544,8.2595816609541,15000
4,9,6,0.12118919945942,j3l2,14.945101258677,20.557652640656,15000
4,10,-6,-0.11726618046004,j2l4,-10238.187635253,-10648.833656889,15000
4,10,-6,-0.11726618046004,j3l2,-21913.436260768,-22498.225259047,15000
4,10,-3,-0.057266180460035,j2l4,-70.376270228611,-63.032264552568,15000
4,10,-3,-0.057266180460035,j3l2,-127.96417441326,-118.26573050764,15000
4,10,0,0.0027338195399645,j2l4,-104.03200880678,-108.47927929166,15000
4,10,0,0.0027338195399645,j3l2,112.74438991528,113.35833056874,15000
4,10,3,0.062733819539965,j2l4,-56.970122989987,-56.288019927471,15000
4,10,3,0.062733819539965,j3l2,-16.239567935753,-22.696818661865,15000
4,10,6,0.12273381953996,j2l4,-5.6863849951518,-10.832519882992,15000
4,10,6,0.12273381953996,j3l2,1.5251321787596,4.3327580949358,15000
4,11,-6,-0.12148542511839,j2l4,-8070.1307341339,-8128.9623573881,15000
4,11,-6,-0.12148542511839,j3l2,-21110.703143657,-20653.778691253,15000
4,11,-3,-0.061485425118389,j2l4,-493.02297572632,-528.95093302906,15000
4,11,-3,-0.061485425118389,j3l2,-549.73111254878,-597.47197158557,15000
4,11,0,-0.0014854251183891,j2l4,-181.83260364388,-193.34568560368,15000
4,11,0,-0.0014854251183891,j3l2,-8.5852450260023,-14.25748342356,15000
4,11,3,0.058514574881611,j2l4,-33.832288018158,-30.180640204926,15000
4,11,3,0.058514574881611,j3l2,16.241819608877,11.988775176463,15000
4,11,6,0.11851457488161,j2l4,-69.029202722461,-53.3178029742,15000
4,11,6,0.11851457488161,j3l2,6.8102300216744,3.6970400994776,15000
4,12,-6,-0.1212073181483,j2l4,-4694.0400181411,-4099.2532805604,15000
4,12,-6,-0.1212073181483,j3l2,-9069.9864362261,-8614.8706098565,15000
4,12,-3,-0.061207318148303,j2l4,-140.85151396415,-127.89723645986,15000
4,12,-3,-0.061207318148303,j3l2,-61.137265890567,-54.118427560595,15000
4,12,0,-0.0012073181483031,j2l4,-79.721055530888,-85.40083057364,15000
4,12,0,-0.0012073181483031,j3l2,104.75659337358,103.00017956763,15000
4,12,3,0.058792681851697,j2l4,-23.988949126852,-19.716196541321,15000
4,12,3,0.058792681851697,j3l2,-44.78177771902,-42.976611622164,15000
4,12,6,0.1187926818517,j2l4,11.071352550609,1.7777049830682,15000
4,12,6,0.1187926818517,j3l2,-2.3057973747219,-7.6919842229924,15000
4,13,-6,-0.11920282127051,j2l4,-19773.565909268,-20089.072094748,15000
4,13,-6,-0.11920282127051,j3l2,-25635.621593687,-25801.259889064,15000
4,13,-3,-0.059202821270514,j2l4,-768.0320858498,-776.49582759732,15000
4,13,-3,-0.059202821270514,j3l2,-886.41845779532,-886.94154210274,15000
4,13,0,0.00079717872948624,j2l4,-90.773185321343,-92.316604913059,15000
4,13,0,0.00079717872948624,j3l2,124.22839347531,124.95788308768,15000
4,13,3,0.060797178729486,j2l4,-15.946703461635,-26.417860564344,15000
4,13,3,0.060797178729486,j3l2,39.489673486293,40.79155861963,15000
4,13,6,0.12079717872949,j2l4,-72.967259687101,-71.516986221221,15000
4,13,6,0.12079717872949,j3l2,20.362613867764,22.049282253369,15000
4,14,-6,-0.11845707059661,j2l4,-9954.6347925178,-10155.92691481,15000
4,14,-6,-0.11845707059661,j3l2,-19608.112676897,-19516.197061514,15000
4,14,-3,-0.058457070596605,j2l4,-1001.4671695737,-836.71259229473,15000
4,14,-3,-0.058457070596605,j3l2,-1353.665163209,-1154.0667254053,15000
4,14,0,0.0015429294033948,j2l4,-45.448997229793,-42.144141357511,15000
4,14,0,0.0015429294033948,j3l2,141.56659013744,141.12059297849,15000
4,14,3,0.061542929403395,j2l4,-5.4092535080036,4.5946338045657,15000
4,14,3,0.061542929403395,j3l2,27.504307057973,26.052008961357,15000
4,14,6,0.12154292940339,j2l4,30.774700065741,26.777590974268,15000
4,14,6,0.12154292940339,j3l2,-26.098401950157,-10.960591198185,15000
4,15,-6,-0.12512321368021,j2l4,-41092.373320608,-41532.646768597,15000
4,15,-6,-0.12512321368021,j3l2,-66253.706525092,-67113.796363383,15000
4,15,-3,-0.065123213680212,j2l4,513.01700957555,407.91084522955,15000
4,15,-3,-0.065123213680212,j3l2,-554.78279959735,-641.30649887945,15000
4,15,0,-0.005123213680212,j2l4,-38.41658071054,-35.568882475241,15000
4,15,0,-0.005123213680212,j3l2,125.88694210717,123.58109194818,15000
4,15,3,0.054876786319788,j2l4,-50.612652003183,-46.827123070811,15000
4,15,3,0.054876786319788,j3l2,11.705557810884,7.7554273434368,15000
4,15,6,0.11487678631979,j2l4,53.337750368215,57.163675307946,15000
4,15,6,0.11487678631979,j3l2,17.531104498489,22.813032212952,15000
4,16,-6,-0.12273998675912,j2l4,-8249.8991786181,-7640.7111664627,15000
4,16,-6,-0.12273998675912,j3l2,-30256.190115604,-29732.753164042,15000
4,16,-3,-0.06273998675912,j2l4,-371.21910912574,-403.47118701681,15000
4,16,-3,-0.06273998675912,j3l2,-786.3447719275,-810.20838033999,15000
4,16,0,-0.0027399867591199,j2l4,-79.112326491787,-76.320423855992,15000
4,16,0,-0.0027399867591199,j3l2,106.7627575577,105.87810483379,15000
4,16,3,0.05726001324088,j2l4,-64.500147236471,-64.002765907617,15000
4,16,3,0.05726001324088,j3l2,31.051412862816,31.234363232169,15000
4,16,6,0.11726001324088,j2l4,3.414560318933,4.4955266568787,15000
4,16,6,0.11726001324088,j3l2,-2.6132862991874,-1.1269341852852,15000
4,17,-6,-0.12446501450183,j2l4,-24530.564849433,-24061.069302199,15000
4,17,-6,-0.12446501450183,j3l2,-42553.034219666,-41836.671410042,15000
4,17,-3,-0.064465014501835,j2l4,27.132579648085,30.716772346061,15000
4,17,-3,-0.064465014501835,j3l2,-158.28461903838,-157.59780747933,15000
4,17,0,-0.0044650145018349,j2l4,-38.944203211892,-45.589451227389,15000
4,17,0,-0.0044650145018349,j3l2,135.40580584535,134.97116634281,15000
4,17,3,0.055534985498165,j2l4,-11.615399441102,-15.405786872216,15000
4,17,3,0.055534985498165,j3l2,19.706902162402,20.27823188033,15000
4,17,6,0.11553498549817,j2l4,10.671339052959,16.073150224863,15000
4,17,6,0.11553498549817,j3l2,9.9291539369931,9.1899580490138,15000
4,18,-6,-0.12341029667404,j2l4,12488.458575433,12181.672746302,15000
4,18,-6,-0.12341029667404,j3l2,-50384.006935963,-50497.299771018,15000
4,18,-3,-0.063410296674042,j2l4,327.58982181337,338.54042612172,15000
4,18,-3,-0.063410296674042,j3l2,-841.39263733001,-781.06782899486,15000
4,18,0,-0.0034102966740424,j2l4,-71.567316795158,-67.958062837533,15000
4,18,0,-0.0034102966740424,j3l2,98.340274145236,93.153025770428,15000
4,18,3,0.056589703325958,j2l4,-258.51353250662,-242.5516072976,15000
4,18,3,0.056589703325958,j3l2,261.95999596051,239.10064771064,15000
4,18,6,0.11658970332596,j2l4,-24.31459484438,-34.078528622263,15000
4,18,6,0.11658970332596,j3l2,-17.798059937602,-18.521132505187,15000
4,19,-6,-0.12108589490215,j2l4,-12610.499695946,-12407.17634288,15000
4,19,-6,-0.12108589490215,j3l2,-24162.632579547,-24429.86773128,15000
4,19,-3,-0.061085894902153,j2l4,-248.6636118872,-242.20327737481,15000
4,19,-3,-0.061085894902153,j3l2,-348.38594274934,-338.29573816724,15000
4,19,0,-0.0010858949021526,j2l4,-63.105381316296,-64.377056599445,15000
4,19,0,-0.0010858949021526,j3l2,84.416694972511,84.201256847943,15000
4,19,3,0.058914105097847,j2l4,-22.694186008335,-25.127481415245,15000
4,19,3,0.058914105097847,j3l2,16.901176010628,16.309711122781,15000
4,19,6,0.11891410509785,j2l4,9.7290397865939,8.9101995379476,15000
4,19,6,0.11891410509785,j3l2,38.120745700932,45.685722309512,15000
